"","id","Name","Age","Class","Ticket","Embarked","Job","Boat"
"1","","ABBOTT, Mrs Rhoda Mary 'Rosa'","39","3rd Class Passenger","CA2673£20 5s","Southampton","","A"
"2","","ABELSETH, Miss Karen Marie","16","3rd Class Passenger","348125£7 13s","Southampton","","16"
"3","","ABELSETH, Mr Olaus JÃ¸rgensen","25","3rd Class Passenger","348122£7 13s","Southampton","Farmer","A"
"4","","ABELSON, Mrs","28","2nd Class Passenger","3381£24","Cherbourg","","10"
"5","","ABRAHAMSSON, Mr Abraham August Johannes","20","3rd Class Passenger","3101284£7 18s 6d","Southampton","","15"
"6","","ABRAHIM, Mrs Mary Sophie Halaut","18","3rd Class Passenger","2657£7 4s 7d","Cherbourg","","C"
"7","","AKS, Mrs Leah","18","3rd Class Passenger","392091£9 7s","Southampton","","13"
"8","","AKS, Master Frank Philip","10m","3rd Class Passenger","392091£9 7s","Southampton","","11"
"9","","ALBIMONA, Mr Nassef Cassem","26","3rd Class Passenger","2699£18 15s 9d","Cherbourg","","15"
"10","","ALLEN, Miss Elisabeth Walton","29","1st Class Passenger","24160£211 6s 9d","Southampton","","2"
"11","","ALLEN, Mr Ernest Frederick","24","Engineering Crew","","Southampton","Trimmer","B"
"12","","ALLISON, Master Hudson Trevor","11m","1st Class Passenger","113781£151 16s","Southampton","","11"
"13","","ANDERSEN-JENSEN, Miss Carla Christine Nielsine","19","3rd Class Passenger","350046£7 17s 1d","Southampton","","16"
"14","","ANDERSON, Mr Harry","47","1st Class Passenger","19952£26 11s","Southampton","Stockbroker","3"
"15","","ANDERSON, Mr James","40","Deck Crew","","Southampton","Able Seaman","3"
"16","","ANDERSSON, Miss Erna Alexandra","17","3rd Class Passenger","3101281£7 18s 6d","Southampton","","D"
"17","","ANDREWS, Miss Kornelia Theodosia","62","1st Class Passenger","13502£77 19s 2d","Cherbourg","","10"
"18","","ANDREWS, Mr Charles Edward","19","Victualling Crew","","Southampton","Assistant Saloon Steward","16"
"19","","ANGLE, Mrs Florence ""Mary"" Agnes","36","2nd Class Passenger","226875£26","Southampton","","11"
"20","","APPLETON, Mrs Charlotte","53","1st Class Passenger","11769£51 9s 7d","Southampton","","2"
"21","","ARCHER, Mr Ernest Edward","36","Deck Crew","","Southampton","Able Seaman","16"
"22","","ASPLUND, Master Edvin Rojj Felix","3","3rd Class Passenger","347077£31 7s 9d","Southampton","","15"
"23","","ASPLUND, Mr Johan Charles","23","3rd Class Passenger","350054£7 15s 11d","Southampton","","13"
"24","","ASPLUND, Mrs Selma Augusta Emilia","38","3rd Class Passenger","347077£31 7s 9d","Southampton","","15"
"25","","ASPLUND, Miss Lillian Gertrud","5","3rd Class Passenger","347077£31 7s 9d","Southampton","","15"
"26","","ASSAF, Mrs Mariana","45","3rd Class Passenger","2696£7 4s 6d","Cherbourg","","C"
"27","","ASTOR, Mrs Madeleine Talmage","18","1st Class Passenger","17757£247 10s 6d","Cherbourg","","4"
"28","","AUBART, Mme. LÃ©ontine Pauline","24","1st Class Passenger","17477£69 6s","Cherbourg","Singer","9"
"29","","AVERY, Mr James Albert","22","Engineering Crew","","Southampton","Trimmer","15"
"30","","AYOUB DAHER, Miss Banoura","15","3rd Class Passenger","2687£7 4s 7d","Cherbourg","","C"
"31","","ÃHMAN, Miss Velin","22","3rd Class Passenger","347085£7 15s 6d","Southampton","","C"
"32","","BACKSTRÃ¶M, Mrs Maria Mathilda","33","3rd Class Passenger","3101278£15 17s","Southampton","","D"
"33","","BACLINI, Mrs Latifa","24","3rd Class Passenger","2666£19 5s 2d","Cherbourg","","C"
"34","","BACLINI, Miss Marie Catherine","5","3rd Class Passenger","2666£19 5s 2d","Cherbourg","","C"
"35","","BACLINI, Miss Eugenie","3","3rd Class Passenger","2666£19 5s 2d","Cherbourg","","C"
"36","","BACLINI, Miss Helene Barbara","9m","3rd Class Passenger","2666£19 5s 2d","Cherbourg","","C"
"37","","BADMAN, Miss Emily Louisa","18","3rd Class Passenger","31416£8 1s","Southampton","Servant","C"
"38","","BAGGOTT, Mr Allen Marden","28","Victualling Crew","","Southampton","Saloon Steward",""
"39","","BAILEY, Mr Henry Joseph","43","Deck Crew","","Southampton","Master-at-arms","16"
"40","","BALL, Mrs Ada E.","36","2nd Class Passenger","28551£13","Southampton","","10"
"41","","BALL, Mr Percy","19","Victualling Crew","","Southampton","Plate Steward",""
"42","","BANSKI, Mrs Mara","31","3rd Class Passenger","349244£8 13s 8d","Southampton","",""
"43","","BARBER, Miss Ellen Mary","26","1st Class PassengerServant","19877£78 17s","Southampton","Personal Maid","6"
"44","","BARKWORTH, Mr Algernon Henry","47","1st Class Passenger","27042£30","Southampton","Justice of the Peace","B"
"45","","BARRETT, Mr Frederick","28","Engineering Crew","","Southampton","Leading Fireman","13"
"46","","BAXTER, Mrs HÃ©lÃ¨ne","50","1st Class Passenger","17558£247 10s 5d","Cherbourg","","6"
"47","","BAZZANI, Mrs Albina","36","1st Class PassengerServant","11813£76 5s 10d","Cherbourg","Personal Maid","8"
"48","","BEANE, Mr Edward","32","2nd Class Passenger","2908£26","Southampton","","13"
"49","","BEANE, Mrs Ethel","19","2nd Class Passenger","2908£26","Southampton","","13"
"50","","BEAUCHAMP, Mr George William","24","Engineering Crew","","Southampton","Fireman","13"
"51","","BECKER, Mrs Nellie E.","35","2nd Class Passenger","230136£39","Southampton","","11"
"52","","BECKER, Miss Marion Louise","4","2nd Class Passenger","230136£39","Southampton","","11"
"53","","BECKER, Master Richard F.","1","2nd Class Passenger","230136£39","Southampton","","11"
"54","","BECKER, Miss Ruth Elizabeth","12","2nd Class Passenger","230136£39","Southampton","","13"
"55","","BECKWITH, Mr Richard Leonard","37","1st Class Passenger","11751£52 11s 1d","Southampton","","5"
"56","","BECKWITH, Mrs Sallie","46","1st Class Passenger","11751£52 11s 1d","Southampton","","5"
"57","","BEESLEY, Mr Lawrence","34","2nd Class Passenger","248698£13","Southampton","Teacher","13"
"58","","BEHR, Mr Karl Howell","26","1st Class Passenger","111369£30","Cherbourg","","5"
"59","","BENNETT, Mrs Mabel","33","Victualling Crew","","Southampton","Stewardess",""
"60","","BENTHAM, Miss Lillian W.","19","2nd Class Passenger","28404£13","Southampton","","12"
"61","","BESSETTE, Miss Nellie Mayo","39","1st Class PassengerServant","17760£63 7s 2d","Cherbourg","Personal Maid","8"
"62","","BIDOIS, Miss Rosalie","46","1st Class PassengerServant","17757£247 10s 6d","Cherbourg","Personal Maid","4"
"63","","BING, Mr Lee","32","3rd Class Passenger","1601£56 9s 11d","Southampton","Seaman","C"
"64","","BINSTEAD, Mr Walter William","20","Engineering Crew","","Southampton","Trimmer","3"
"65","","BIRD, Miss Ellen","31","1st Class PassengerServant","17483£221 15s 7d","Southampton","Personal Maid","8"
"66","","BISHOP, Mr Dickinson H.","25","1st Class Passenger","11967£91 1s 7d","Cherbourg","","7"
"67","","BISHOP, Mrs Helen","19","1st Class Passenger","11967£91 1s 7d","Cherbourg","","7"
"68","","BJÃ¶RNSTRÃ¶M-STEFFANSSON, Mr Mauritz Hokan","28","1st Class Passenger","110564£26 11s","Southampton","Businessman","D"
"69","","BLAKE, Mr Percival Albert","22","Engineering Crew","","Southampton","Trimmer","15"
"70","","BLANK, Mr Henry","39","1st Class Passenger","112277£31","Cherbourg","Jeweller","7"
"71","","BLISS, Mrs Emma","45","Victualling Crew","","Southampton","Stewardess",""
"72","","BONNELL, Miss Caroline","30","1st Class Passenger","36928£164 17s 4d","Southampton","","8"
"73","","BONNELL, Miss Elizabeth","61","1st Class Passenger","113783£26 11s","Southampton","","8"
"74","","BOWEN, Miss Grace Scott","45","1st Class PassengerServant","17608£262 7s 6d","Cherbourg","Governess","4"
"75","","BOWERMAN, Miss Elsie Edith","22","1st Class Passenger","113505£55","Southampton","","6"
"76","","BOWKER, Miss Ruth","27","Restaurant Staff","","Southampton","Cashier",""
"77","","BOXHALL, Mr Joseph Groves","28","Deck Crew","","Belfast","4th. Officer","2"
"78","","BRADLEY, Miss Bridget Delia","22","3rd Class Passenger","334914£7 14s 6d","Queenstown","","13"
"79","","BRERETON, Mr George Andrew","37","1st Class Passenger","111427£26 11s","Southampton","","9"
"80","","BRICE, Mr Walter T","42","Deck Crew","","Southampton","Able Seaman","11"
"81","","BRIDE, Mr Harold Sydney","22","Victualling Crew","","Belfast","Assistant Telegraphist","B"
"82","","BRIGHT, Mr Arthur John","42","Deck Crew","","Belfast","Quartermaster","D"
"83","","BROWN, Mrs Caroline Lane","59","1st Class Passenger","11769£51 9s 7d","Southampton","","D"
"84","","BROWN, Mrs Margaret","44","1st Class Passenger","17610£27 14s 5d","Cherbourg","","6"
"85","","BROWN, Miss Amelia Mary","18","2nd Class PassengerServant","248733£13","Southampton","Cook (Personal)","11"
"86","","BROWN, Mrs Elizabeth Catherine","40","2nd Class Passenger","29750£39","Southampton","","14"
"87","","BROWN, Miss Edith Eileen","15","2nd Class Passenger","29750£39","Southampton","Scholar","14"
"88","","BROWN, Mr Edward","34","Victualling Crew","","Belfast","Saloon Steward",""
"89","","BRYHL, Miss Dagmar Jenny Ingeborg","20","2nd Class Passenger","236853£26","Southampton","","12"
"90","","BUCKLEY, Mr Daniel","21","3rd Class Passenger","330920£7 15s 17d","Queenstown","Farm Labourer","13"
"91","","BUCKNELL, Mrs Emma Eliza","59","1st Class Passenger","11813£76 5s 10d","Cherbourg","","8"
"92","","BULEY, Mr Edward John","26","Deck Crew","","Southampton","Able Seaman","10"
"93","","BURGESS, Mr Charles Reginald","18","Victualling Crew","","Southampton","Extra 3rd. Baker",""
"94","","BURKE, Mr William","31","Victualling Crew","","Belfast","Saloon Steward",""
"95","","BURNS, Miss Elizabeth Margaret","41","1st Class PassengerServant","16966£134 10s","Cherbourg","Nursemaid","3"
"96","","BURRAGE, Mr Arthur Victor Edwards","20","Victualling Crew","","Southampton","Plate Steward","13"
"97","","BUSS, Miss Kate","36","2nd Class Passenger","27849£13","Southampton","","9"
"98","","BYSTRÃ¶M, Mrs Karolina","40","2nd Class Passenger","236852£13","Southampton","",""
"99","","CALDERHEAD, Mr Edward Pennington","42","1st Class Passenger","17476£26 5s 9d","Southampton","","5"
"100","","CALDWELL, Mr Albert Francis","26","2nd Class Passenger","248738£29","Southampton","","13"
"101","","CALDWELL, Mrs Sylvia Mae","28","2nd Class Passenger","248738£29","Southampton","","13"
"102","","CALDWELL, Master Alden Gates","10m","2nd Class Passenger","248738£29","Southampton","","13"
"103","","CAMERON, Miss Clear Annie","35","2nd Class Passenger","13528£21","Southampton","Personal Maid","14"
"104","","CANDEE, Mrs Helen Churchill","52","1st Class Passenger","17606£27 8s 11d","Cherbourg","","6"
"105","","CARDEZA, Mrs Charlotte Wardle","58","1st Class Passenger","17755£512 6s 7d","Cherbourg","","3"
"106","","CARDEZA, Mr Thomas Drake Martinez","36","1st Class Passenger","17755£512 6s 7d","Cherbourg","Gentleman","3"
"107","","CARTER, Mr William Ernest","36","1st Class Passenger","113760£120","Southampton","","C"
"108","","CARTER, Mrs Lucile","36","1st Class Passenger","113760£120","Southampton","","4"
"109","","CARTER, Miss Lucile Polk","13","1st Class Passenger","113760£120","Southampton","","4"
"110","","CARTER, Master William Thornton II","11","1st Class Passenger","113760£120","Southampton","","4"
"111","","CASSEBEER, Mrs Eleanor Genevieve","36","1st Class Passenger","17770£27 14s 5d","Cherbourg","","5"
"112","","CATON, Miss Annie","33","Victualling Crew","","Southampton","Turkish Bath Stewardess","11"
"113","","CAVELL, Mr George Henry","22","Engineering Crew","","Southampton","Trimmer","15"
"114","","CAVENDISH, Mrs Julia Florence","25","1st Class Passenger","19877£78 17s","Southampton","","6"
"115","","CHAFFEE, Mrs Carrie Constance","47","1st Class Passenger","5734£61 3s 6d","Southampton","","4"
"116","","CHAMBERS, Mr Norman Campbell","27","1st Class Passenger","113806£53 2s","Southampton","","5"
"117","","CHAMBERS, Mrs Bertha","32","1st Class Passenger","113806£53 2s","Southampton","","5"
"118","","CHAPMAN, Mr Joseph Charles","32","Victualling Crew","","Southampton","Boots",""
"119","","CHAUDANSON, Miss Victorine","36","1st Class PassengerServant","17608£262 7s 6d","Cherbourg","Personal Maid","4"
"120","","CHERRY, Miss Gladys","30","1st Class Passenger","110152£86 10s","Southampton","Of Independent Means","8"
"121","","CHEVRÃ©, Mr Paul Romaine Marie LÃ©once","45","1st Class Passenger","17594£29 14s","Cherbourg","Sculptor","7"
"122","","CHIBNALL, Mrs Edith Martha Bowerman","48","1st Class Passenger","113505£55","Southampton","Of Independent Means","6"
"123","","CHIP, Mr Chang","32","3rd Class Passenger","1601£56 9s 11d","Southampton","Seaman","C"
"124","","CHRISTY, Mrs Alice Frances","45","2nd Class Passenger","237789£30","Southampton","","12"
"125","","CHRISTY, Miss Rachel Juli Cohen","25","2nd Class Passenger","237789£30","Southampton","","12"
"126","","CLARK, Mrs Virginia Estelle","26","1st Class Passenger","13508£136 15s 7d","Cherbourg","","4"
"127","","CLARK, Mr William","39","Engineering Crew","","Southampton","Fireman",""
"128","","CLARKE, Mrs Ada Maria","28","2nd Class Passenger","2003£27","Southampton","","14"
"129","","CLEAVER, Miss Alice Catherine","22","1st Class PassengerServant","113781£151 16s","Southampton","Nursemaid","11"
"130","","CLENCH, Mr Frederick","34","Deck Crew","","Southampton","Able Seaman","12"
"131","","COHEN, Mr Gurshon ""Gus""","18","3rd Class Passenger","3540£8 1s","Southampton","Printer / Compositor","12"
"132","","COLGAN, Mr E. Joseph","33","Victualling Crew","","Southampton","Scullion",""
"133","","COLLETT, Mr Sidney Clarence Stuart","25","2nd Class Passenger","28034£10 10s","Southampton","","9"
"134","","COLLINS, Mr Samuel","35","Engineering Crew","","Southampton","Fireman","1"
"135","","COLLINS, Mr John","17","Victualling Crew","","Southampton","Scullion",""
"136","","COLLYER, Mrs Charlotte Annie","31","2nd Class Passenger","31921£26 5s","Southampton","","14"
"137","","COLLYER, Miss Marjorie Charlotte ""Lottie""","8","2nd Class Passenger","31921£26 5s","Southampton","","14"
"138","","COMBES, Mr George","34","Engineering Crew","","Southampton","Fireman",""
"139","","COMPTON, Mrs Mary Eliza","64","1st Class Passenger","17756£83 3s 2d","Cherbourg","","14"
"140","","COMPTON, Miss Sara Rebecca","39","1st Class Passenger","17756£83 3s 2d","Cherbourg","","14"
"141","","CONNOLLY, Miss Kate","23","3rd Class Passenger","370373£7 15s","Queenstown","","13"
"142","","COOK, Mrs Selena","22","2nd Class Passenger","14266£10 10s","Southampton","","14"
"143","","CORNELL, Mrs Malvina Helen","55","1st Class Passenger","11770£25 14s 10d","Southampton","","2"
"144","","CORR, Miss Helen","16","3rd Class Passenger","367231£7 15s","Queenstown","","16"
"145","","COUPER, Mr Robert","30","Engineering Crew","","Southampton","Fireman","3"
"146","","COUTTS, Mrs Winnie ""Minnie""","36","3rd Class Passenger","37671£15 18s","Southampton","","2"
"147","","COUTTS, Master William Loch ""Willie""","9","3rd Class Passenger","37671£15 18s","Southampton","","2"
"148","","COUTTS, Master Neville Leslie","3","3rd Class Passenger","37671£15 18s","Southampton","","2"
"149","","CRAFTER, Mr Frederick","27","Victualling Crew","","Southampton","Saloon Steward",""
"150","","CRAWFORD, Mr Alfred George","43","Victualling Crew","","Belfast","Bed Room Steward","8"
"151","","CRIBB, Miss Laura Mae","16","3rd Class Passenger","371362£16 2s","Southampton","Shop Assistant","12"
"152","","CRIMMINS, Mr James","21","Engineering Crew","","Southampton","Fireman","13"
"153","","CROSBY, Mrs Catherine Elizabeth","64","1st Class Passenger","5735£71","Southampton","","7"
"154","","CROSBY, Miss Harriette Rebecca","39","1st Class Passenger","112901£26 11s","Southampton","","7"
"155","","CROWE, Mr George Frederick","30","Victualling Crew","","Southampton","Saloon Steward","14"
"156","","CULLEN, Mr Charles","45","Victualling Crew","","Belfast","Bed Room Steward",""
"157","","CUMINGS, Mrs Florence Briggs","35","1st Class Passenger","17599£71 5s 8d","Cherbourg","","4"
"158","","CUNNINGHAM, Mr Andrew","35","Victualling Crew","","Belfast","Bed Room Steward","4"
"159","","DAHL, Mr Charles Edward","45","3rd Class Passenger","7598£8 1s","Southampton","Carpenter / Joiner","15"
"160","","DALY, Mr Peter Dennis","51","1st Class Passenger","113055£26 11s","Southampton","Businessman","5"
"161","","DALY, Miss Margaret Marcella ""Maggie""","30","3rd Class Passenger","382650£6 19s","Queenstown","Housekeeper","15"
"162","","DALY, Mr Eugene Patrick","29","3rd Class Passenger","382651£7 15s","Queenstown","Farm Labourer","B"
"163","","DANIEL, Mr Robert Williams","27","1st Class Passenger","113804£30 10s","Southampton","","3"
"164","","DANIELS, Miss Sarah","33","1st Class PassengerServant","113781£151 16s","Southampton","Personal Maid","8"
"165","","DANIELS, Mr Sidney Edward","18","Victualling Crew","","Southampton","Third class steward",""
"166","","DAVIDSON, Mrs Orian","27","1st Class Passenger","12750£52","Cherbourg","","3"
"167","","DAVIES, Mrs Elizabeth Agnes Mary","48","2nd Class Passenger","33112£36 15s","Southampton","","14"
"168","","DAVIES, Master John Morgan jr","8","2nd Class Passenger","33112£36 15s","Southampton","","14"
"169","","DAVIS, Miss Mary","28","2nd Class Passenger","237668£13","Southampton","","13"
"170","","DAVISON, Mrs Mary E.","34","3rd Class Passenger","386525£16 2s","Southampton","","16"
"171","","DE MESSEMAEKER, Mr Guillaume Joseph","36","3rd Class Passenger","345572£17 8s","Southampton","","15"
"172","","DE MESSEMAEKER, Mrs Anna","36","3rd Class Passenger","345572£17 8s","Southampton","","13"
"173","","DE MULDER, Mr Theodoor","30","3rd Class Passenger","345774£9 10s","Southampton","","11"
"174","","DEAN, Mrs Eva Georgetta","32","3rd Class Passenger","2315£20 11s 6d","Southampton","","10"
"175","","DEAN, Master Bertram Vere","1","3rd Class Passenger","2315£20 11s 6d","Southampton","","10"
"176","","DEAN, Miss Elizabeth Gladys 'Millvina'","2m","3rd Class Passenger","2315£20 11s 6d","Southampton","","10"
"177","","DEL CARLO, Mrs Argene","24","2nd Class Passenger","2167£27 14s 5d","Cherbourg","","11"
"178","","DEVANEY, Miss Margaret Delia","19","3rd Class Passenger","330958£7 17s 7d","Queenstown","","C"
"179","","DIAPER, Mr John Joseph","27","Engineering Crew","","Southampton","Fireman",""
"180","","DICK, Mr Albert Adrian","31","1st Class Passenger","17474£57","Southampton","","3"
"181","","DICK, Mrs Vera","17","1st Class Passenger","17474£57","Southampton","","3"
"182","","DILLEY, Mr John","30","Engineering Crew","","Southampton","Fireman",""
"183","","DILLON, Mr Thomas Patrick","24","Engineering Crew","","Southampton","Trimmer","4"
"184","","DODGE, Dr Washington","52","1st Class Passenger","33638£81 17s 2d","Southampton","Politician","13"
"185","","DODGE, Mrs Ruth","34","1st Class Passenger","33638£81 17s 2d","Southampton","","5"
"186","","DODGE, Master Washington","4","1st Class Passenger","33638£81 17s 2d","Southampton","","5"
"187","","DOEL, Mr Frederick","22","Engineering Crew","","Southampton","Fireman",""
"188","","DOLING, Mrs Ada Julia Elizabeth","34","2nd Class Passenger","231919£23","Southampton","",""
"189","","DOLING, Miss Elsie","18","2nd Class Passenger","231919£23","Southampton","",""
"190","","DORE, Mr Albert James","22","Engineering Crew","","Southampton","Trimmer",""
"191","","DORKING, Mr Edward Arthur","18","3rd Class Passenger","10482£8 1s","Southampton","Groom","B"
"192","","DOUGLAS, Mrs Mahala","48","1st Class Passenger","17761£106 8s 6d","Cherbourg","","2"
"193","","DOUGLAS, Mrs Mary HÃ©lÃ¨ne","27","1st Class Passenger","17558£247 10s 5d","Cherbourg","","6"
"194","","DOWDELL, Miss Elizabeth","31","3rd Class Passenger","364516£12 9s 6d","Southampton","Housekeeper","13"
"195","","DREW, Mrs Lulu Thorne","34","2nd Class Passenger","28220£32 10s","Southampton","","10"
"196","","DREW, Master Marshall Brines","8","2nd Class Passenger","28220£32 10s","Southampton","","10"
"197","","DROPKIN, Miss Jennie","24","3rd Class Passenger","392083£8 1s","Southampton","Box Maker",""
"198","","DUFF GORDON, Sir Cosmo Edmund","49","1st Class Passenger","11755£39 12s","Cherbourg","Landowner","1"
"199","","DUFF GORDON,  Lucy Christiana, Lady","48","1st Class Passenger","17485£56 18s 7d","Cherbourg","Dressmaker / Couturière","1"
"200","","DUQUEMIN, Mr Joseph Pierre","19","3rd Class Passenger","752£7 11s","Southampton","Mason","D"
"201","","DURAN Y MORE, Sra. Asuncion","27","2nd Class Passenger","2149£13 17s 2d","Cherbourg","","12"
"202","","DURÃ¡N I MONÃ©, Sra. Florentina","30","2nd Class Passenger","2148£13 17s 2d","Cherbourg","","12"
"203","","DYKER, Mrs Anna Elisabeth Judith","22","3rd Class Passenger","347072£13 18s","Southampton","","16"
"204","","DYMOND, Mr Frank","40","Engineering Crew","","Southampton","Fireman","15"
"205","","EARNSHAW, Mrs Olive","23","1st Class Passenger","11767£83 3s 2d","Cherbourg","Of Independent Means","7"
"206","","ELLIS, Mr John Bertram","30","Victualling Crew","","Southampton","Assistant Vegetable Cook","2"
"207","","EMANUEL, Miss Virginia Ethel","5","3rd Class Passenger","364516£12 9s 6d","Southampton","","13"
"208","","ENDRES, Miss Caroline Louise","39","1st Class PassengerServant","17757£247 10s 6d","Cherbourg","Nurse","4"
"209","","ETCHES, Mr Henry Samuel","43","Victualling Crew","","Belfast","First class bedroom steward","5"
"210","","EUSTIS, Miss Elizabeth Mussey","54","1st Class Passenger","36947£78 5s 4d","Cherbourg","","4"
"211","","EVANS, Mr Alfred Frank","25","Deck Crew","","Southampton","Lookout","15"
"212","","EVANS, Mr Frank Oliver","27","Deck Crew","","Southampton","Able Seaman","10"
"213","","FAULKNER, Mr William Stephen","37","Victualling Crew","","Belfast","Bed Room Steward","11"
"214","","FINOLI, Mr Luigi","34","3rd Class Passenger","3101308£7 1s","Southampton","","15"
"215","","FITZPATRICK, Mr Cecil William","21","Engineering Crew","","Southampton","Mess Steward","B"
"216","","FLARTY, Mr Edward","43","Engineering Crew","","Southampton","Fireman",""
"217","","FLEET, Mr Frederick","24","Deck Crew","","Belfast","Lookout","6"
"218","","FLEGENHEIM, Mrs Antoinette","48","1st Class Passenger","17598£31 13s 8d","Cherbourg","","7"
"219","","FLEMING, Miss Margaret","42","1st Class PassengerServant","17421£110 17s 8d","Cherbourg","Personal Maid","4"
"220","","FLYNN, Mr John Irwin","36","1st Class Passenger","PC 14474£26 5s 9d","Southampton","","5"
"221","","FOLEY, Mr John","44","Deck Crew","","Belfast","Storekeeper",""
"222","","FOLEY, Mr William C.","26","Victualling Crew","","Southampton","Steward",""
"223","","FOO, Mr Choong","32","3rd Class Passenger","1601£56 9s 11d","Southampton","Seaman","13"
"224","","FORTUNE, Mrs Mary","60","1st Class Passenger","19950£263","Southampton","","10"
"225","","FORTUNE, Miss Ethel Flora","28","1st Class Passenger","19950£263","Southampton","","10"
"226","","FORTUNE, Miss Alice Elizabeth","24","1st Class Passenger","19950£263","Southampton","","10"
"227","","FORTUNE, Miss Mabel Helen","23","1st Class Passenger","19950£263","Southampton","","10"
"228","","FORWARD, Mr James","27","Deck Crew","","Southampton","Able Seaman","16"
"229","","FRANCATELLI, Miss Laura Mabel","31","1st Class PassengerServant","17485£56 18s 7d","Cherbourg","Secretary","1"
"230","","FRAUENTHAL, Mr Isaac Gerald","43","1st Class Passenger","17765£27 14s 5d","Cherbourg","","5"
"231","","FRAUENTHAL, Dr Henry William","49","1st Class Passenger","17611£133 13s","Cherbourg","Doctor","5"
"232","","FRAUENTHAL, Mrs Clara","42","1st Class Passenger","17611£133 13s","Cherbourg","","5"
"233","","FRÃ¶LICHER, Miss Hedwig Margaritha","22","1st Class Passenger","13568£49 10s","Cherbourg","","5"
"234","","FRÃ¶LICHER-STEHLI, Mr Maximilian Josef","60","1st Class Passenger","13567£79 4s","Cherbourg","","5"
"235","","FRÃ¶LICHER-STEHLI, Mrs Margaretha Emerentia","48","1st Class Passenger","13567£79 4s","Cherbourg","","5"
"236","","FREDERICKS, Mr Walter Francis","21","Engineering Crew","","Southampton","Trimmer","15"
"237","","FRYER, Mr Albert Ernest","26","Engineering Crew","","Southampton","Trimmer",""
"238","","FUTRELLE, Mrs Lily May","35","1st Class Passenger","113803£53 2s","Southampton","","D"
"239","","GARSIDE, Miss Ethel","34","2nd Class Passenger","243880£13","Southampton","","12"
"240","","GEORGE/JOSEPH, Mrs Shawneene","38","3rd Class Passenger","2688£7 4s 7d","Cherbourg","","C"
"241","","GIBBONS, Mr Jacob William","36","Victualling Crew","","Southampton","Saloon Steward",""
"242","","GIBSON, Mrs Pauline Caroline","44","1st Class Passenger","112378£59 8s","Cherbourg","","7"
"243","","GIBSON, Miss Dorothy Winifred","22","1st Class Passenger","112378£59 8s","Cherbourg","","7"
"244","","GIEGER, Miss Amalie ""Emily"" Henriette","35","1st Class PassengerServant","113503£211 10s","Southampton","Personal Maid","4"
"245","","GILES, Mr Henry Robert","32","Engineering Crew","","Southampton","Fireman",""
"246","","GILNAGH, Miss Mary Katherine ""Katie""","17","3rd Class Passenger","35851£7 14s 8d","Queenstown","","16"
"247","","GLYNN, Miss Mary Agatha","19","3rd Class Passenger","335677£7 15s","Queenstown","","13"
"248","","GODLEY, Mr George Auguste","38","Engineering Crew","","Southampton","Fireman",""
"249","","GOLD, Mrs Jane Kate Coulson","45","Victualling Crew","","Southampton","Stewardess",""
"250","","GOLDENBERG, Mr Samuel L.","47","1st Class Passenger","17453£89 2s 1d","Cherbourg","","5"
"251","","GOLDENBERG, Mrs Nella","40","1st Class Passenger","17453£89 2s 1d","Cherbourg","","5"
"252","","GOLDSMITH, Mrs Emily Alice","31","3rd Class Passenger","363291£20 10s 6d","Southampton","","C"
"253","","GOLDSMITH, Master Frank John William","9","3rd Class Passenger","363291£20 10s 6d","Southampton","","C"
