"id","SibSp","Parch","Class.1","Class.2","Class.3","Gender","Fare","Embarked.C","Embarked.Q","Embarked.S","Child","Adult","Age.NA","Survived"
"1",1,0,0,0,1,1,7.25,0,0,1,0,1,0,0
"2",1,0,1,0,0,0,71.2833,1,0,0,0,1,0,1
"3",0,0,0,0,1,0,7.925,0,0,1,0,1,0,1
"4",1,0,1,0,0,0,53.1,0,0,1,0,1,0,1
"5",0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
"6",0,0,0,0,1,1,8.4583,0,1,0,0,0,1,0
"7",0,0,1,0,0,1,51.8625,0,0,1,0,1,0,0
"8",3,1,0,0,1,1,21.075,0,0,1,1,0,0,0
"9",0,2,0,0,1,0,11.1333,0,0,1,0,1,0,1
"10",1,0,0,1,0,0,30.0708,1,0,0,0,1,0,1
"11",1,1,0,0,1,0,16.7,0,0,1,0,1,0,1
"12",0,0,1,0,0,0,26.55,0,0,1,0,1,0,1
"13",0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
"14",1,5,0,0,1,1,31.275,0,0,1,0,1,0,0
"15",0,0,0,0,1,0,7.8542,0,0,1,0,1,0,0
"16",0,0,0,1,0,0,16,0,0,1,0,1,0,1
"17",4,1,0,0,1,1,29.125,0,1,0,1,0,0,0
"18",0,0,0,1,0,1,13,0,0,1,0,0,1,1
"19",1,0,0,0,1,0,18,0,0,1,0,1,0,0
"20",0,0,0,0,1,0,7.225,1,0,0,0,0,1,1
"21",0,0,0,1,0,1,26,0,0,1,0,1,0,0
"22",0,0,0,1,0,1,13,0,0,1,0,1,0,1
"23",0,0,0,0,1,0,8.0292,0,1,0,0,1,0,1
"24",0,0,1,0,0,1,35.5,0,0,1,0,1,0,1
"25",3,1,0,0,1,0,21.075,0,0,1,0,1,0,0
"26",1,5,0,0,1,0,31.3875,0,0,1,0,1,0,1
"27",0,0,0,0,1,1,7.225,1,0,0,0,0,1,0
"28",3,2,1,0,0,1,263,0,0,1,0,1,0,0
"29",0,0,0,0,1,0,7.8792,0,1,0,0,0,1,1
"30",0,0,0,0,1,1,7.8958,0,0,1,0,0,1,0
"31",0,0,1,0,0,1,27.7208,1,0,0,0,1,0,0
"32",1,0,1,0,0,0,146.5208,1,0,0,0,0,1,1
"33",0,0,0,0,1,0,7.75,0,1,0,0,0,1,1
"34",0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
"35",1,0,1,0,0,1,82.1708,1,0,0,0,1,0,0
"36",1,0,1,0,0,1,52,0,0,1,0,1,0,0
"37",0,0,0,0,1,1,7.2292,1,0,0,0,0,1,1
"38",0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
"39",2,0,0,0,1,0,18,0,0,1,0,1,0,0
"40",1,0,0,0,1,0,11.2417,1,0,0,0,1,0,1
"41",1,0,0,0,1,0,9.475,0,0,1,0,1,0,0
"42",1,0,0,1,0,0,21,0,0,1,0,1,0,0
"43",0,0,0,0,1,1,7.8958,1,0,0,0,0,1,0
"44",1,2,0,1,0,0,41.5792,1,0,0,0,1,0,1
"45",0,0,0,0,1,0,7.8792,0,1,0,0,1,0,1
"46",0,0,0,0,1,1,8.05,0,0,1,0,0,1,0
"47",1,0,0,0,1,1,15.5,0,1,0,0,0,1,0
"48",0,0,0,0,1,0,7.75,0,1,0,0,0,1,1
"49",2,0,0,0,1,1,21.6792,1,0,0,0,0,1,0
"50",1,0,0,0,1,0,17.8,0,0,1,0,1,0,0
"51",4,1,0,0,1,1,39.6875,0,0,1,0,1,0,0
"52",0,0,0,0,1,1,7.8,0,0,1,0,1,0,0
"53",1,0,1,0,0,0,76.7292,1,0,0,0,1,0,1
"54",1,0,0,1,0,0,26,0,0,1,0,1,0,1
"55",0,1,1,0,0,1,61.9792,1,0,0,0,1,0,0
"56",0,0,1,0,0,1,35.5,0,0,1,0,0,1,1
"57",0,0,0,1,0,0,10.5,0,0,1,0,1,0,1
"58",0,0,0,0,1,1,7.2292,1,0,0,0,1,0,0
"59",1,2,0,1,0,0,27.75,0,0,1,0,1,0,1
"60",5,2,0,0,1,1,46.9,0,0,1,0,1,0,0
"61",0,0,0,0,1,1,7.2292,1,0,0,0,1,0,0
"62",0,0,1,0,0,0,80,0,0,0,0,1,0,1
"63",1,0,1,0,0,1,83.475,0,0,1,0,1,0,0
"64",3,2,0,0,1,1,27.9,0,0,1,0,1,0,0
"65",0,0,1,0,0,1,27.7208,1,0,0,0,0,1,0
"66",1,1,0,0,1,1,15.2458,1,0,0,0,0,1,1
"67",0,0,0,1,0,0,10.5,0,0,1,0,1,0,1
"68",0,0,0,0,1,1,8.1583,0,0,1,0,1,0,0
"69",4,2,0,0,1,0,7.925,0,0,1,0,1,0,1
"70",2,0,0,0,1,1,8.6625,0,0,1,0,1,0,0
"71",0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
"72",5,2,0,0,1,0,46.9,0,0,1,0,1,0,0
"73",0,0,0,1,0,1,73.5,0,0,1,0,1,0,0
"74",1,0,0,0,1,1,14.4542,1,0,0,0,1,0,0
"75",0,0,0,0,1,1,56.4958,0,0,1,0,1,0,1
"76",0,0,0,0,1,1,7.65,0,0,1,0,1,0,0
"77",0,0,0,0,1,1,7.8958,0,0,1,0,0,1,0
"78",0,0,0,0,1,1,8.05,0,0,1,0,0,1,0
"79",0,2,0,1,0,1,29,0,0,1,1,0,0,1
"80",0,0,0,0,1,0,12.475,0,0,1,0,1,0,1
"81",0,0,0,0,1,1,9,0,0,1,0,1,0,0
"82",0,0,0,0,1,1,9.5,0,0,1,0,1,0,1
"83",0,0,0,0,1,0,7.7875,0,1,0,0,0,1,1
"84",0,0,1,0,0,1,47.1,0,0,1,0,1,0,0
"85",0,0,0,1,0,0,10.5,0,0,1,0,1,0,1
"86",3,0,0,0,1,0,15.85,0,0,1,0,1,0,1
"87",1,3,0,0,1,1,34.375,0,0,1,0,1,0,0
"88",0,0,0,0,1,1,8.05,0,0,1,0,0,1,0
"89",3,2,1,0,0,0,263,0,0,1,0,1,0,1
"90",0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
"91",0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
"92",0,0,0,0,1,1,7.8542,0,0,1,0,1,0,0
"93",1,0,1,0,0,1,61.175,0,0,1,0,1,0,0
"94",1,2,0,0,1,1,20.575,0,0,1,0,1,0,0
"95",0,0,0,0,1,1,7.25,0,0,1,0,1,0,0
"96",0,0,0,0,1,1,8.05,0,0,1,0,0,1,0
"97",0,0,1,0,0,1,34.6542,1,0,0,0,1,0,0
"98",0,1,1,0,0,1,63.3583,1,0,0,0,1,0,1
"99",0,1,0,1,0,0,23,0,0,1,0,1,0,1
"100",1,0,0,1,0,1,26,0,0,1,0,1,0,0
"101",0,0,0,0,1,0,7.8958,0,0,1,0,1,0,0
"102",0,0,0,0,1,1,7.8958,0,0,1,0,0,1,0
"103",0,1,1,0,0,1,77.2875,0,0,1,0,1,0,0
"104",0,0,0,0,1,1,8.6542,0,0,1,0,1,0,0
"105",2,0,0,0,1,1,7.925,0,0,1,0,1,0,0
"106",0,0,0,0,1,1,7.8958,0,0,1,0,1,0,0
"107",0,0,0,0,1,0,7.65,0,0,1,0,1,0,1
"108",0,0,0,0,1,1,7.775,0,0,1,0,0,1,1
"109",0,0,0,0,1,1,7.8958,0,0,1,0,1,0,0
"110",1,0,0,0,1,0,24.15,0,1,0,0,0,1,1
"111",0,0,1,0,0,1,52,0,0,1,0,1,0,0
"112",1,0,0,0,1,0,14.4542,1,0,0,0,1,0,0
"113",0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
"114",1,0,0,0,1,0,9.825,0,0,1,0,1,0,0
"115",0,0,0,0,1,0,14.4583,1,0,0,0,1,0,0
"116",0,0,0,0,1,1,7.925,0,0,1,0,1,0,0
"117",0,0,0,0,1,1,7.75,0,1,0,0,1,0,0
"118",1,0,0,1,0,1,21,0,0,1,0,1,0,0
"119",0,1,1,0,0,1,247.5208,1,0,0,0,1,0,0
"120",4,2,0,0,1,0,31.275,0,0,1,1,0,0,0
"121",2,0,0,1,0,1,73.5,0,0,1,0,1,0,0
"122",0,0,0,0,1,1,8.05,0,0,1,0,0,1,0
"123",1,0,0,1,0,1,30.0708,1,0,0,0,1,0,0
"124",0,0,0,1,0,0,13,0,0,1,0,1,0,1
"125",0,1,1,0,0,1,77.2875,0,0,1,0,1,0,0
"126",1,0,0,0,1,1,11.2417,1,0,0,0,1,0,1
"127",0,0,0,0,1,1,7.75,0,1,0,0,0,1,0
"128",0,0,0,0,1,1,7.1417,0,0,1,0,1,0,1
"129",1,1,0,0,1,0,22.3583,1,0,0,0,0,1,1
"130",0,0,0,0,1,1,6.975,0,0,1,0,1,0,0
"131",0,0,0,0,1,1,7.8958,1,0,0,0,1,0,0
"132",0,0,0,0,1,1,7.05,0,0,1,0,1,0,0
"133",1,0,0,0,1,0,14.5,0,0,1,0,1,0,0
"134",1,0,0,1,0,0,26,0,0,1,0,1,0,1
"135",0,0,0,1,0,1,13,0,0,1,0,1,0,0
"136",0,0,0,1,0,1,15.0458,1,0,0,0,1,0,0
"137",0,2,1,0,0,0,26.2833,0,0,1,0,1,0,1
"138",1,0,1,0,0,1,53.1,0,0,1,0,1,0,0
"139",0,0,0,0,1,1,9.2167,0,0,1,0,1,0,0
"140",0,0,1,0,0,1,79.2,1,0,0,0,1,0,0
"141",0,2,0,0,1,0,15.2458,1,0,0,0,0,1,0
"142",0,0,0,0,1,0,7.75,0,0,1,0,1,0,1
"143",1,0,0,0,1,0,15.85,0,0,1,0,1,0,1
"144",0,0,0,0,1,1,6.75,0,1,0,0,1,0,0
"145",0,0,0,1,0,1,11.5,0,0,1,0,1,0,0
"146",1,1,0,1,0,1,36.75,0,0,1,0,1,0,0
"147",0,0,0,0,1,1,7.7958,0,0,1,0,1,0,1
"148",2,2,0,0,1,0,34.375,0,0,1,0,1,0,0
"149",0,2,0,1,0,1,26,0,0,1,0,1,0,0
"150",0,0,0,1,0,1,13,0,0,1,0,1,0,0
"151",0,0,0,1,0,1,12.525,0,0,1,0,1,0,0
"152",1,0,1,0,0,0,66.6,0,0,1,0,1,0,1
"153",0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
"154",0,2,0,0,1,1,14.5,0,0,1,0,1,0,0
"155",0,0,0,0,1,1,7.3125,0,0,1,0,0,1,0
"156",0,1,1,0,0,1,61.3792,1,0,0,0,1,0,0
"157",0,0,0,0,1,0,7.7333,0,1,0,0,1,0,1
"158",0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
"159",0,0,0,0,1,1,8.6625,0,0,1,0,0,1,0
"160",8,2,0,0,1,1,69.55,0,0,1,0,0,1,0
"161",0,1,0,0,1,1,16.1,0,0,1,0,1,0,0
"162",0,0,0,1,0,0,15.75,0,0,1,0,1,0,1
"163",0,0,0,0,1,1,7.775,0,0,1,0,1,0,0
"164",0,0,0,0,1,1,8.6625,0,0,1,0,1,0,0
"165",4,1,0,0,1,1,39.6875,0,0,1,1,0,0,0
"166",0,2,0,0,1,1,20.525,0,0,1,0,1,0,1
"167",0,1,1,0,0,0,55,0,0,1,0,0,1,1
"168",1,4,0,0,1,0,27.9,0,0,1,0,1,0,0
"169",0,0,1,0,0,1,25.925,0,0,1,0,0,1,0
"170",0,0,0,0,1,1,56.4958,0,0,1,0,1,0,0
"171",0,0,1,0,0,1,33.5,0,0,1,0,1,0,0
"172",4,1,0,0,1,1,29.125,0,1,0,0,1,0,0
"173",1,1,0,0,1,0,11.1333,0,0,1,1,0,0,1
"174",0,0,0,0,1,1,7.925,0,0,1,0,1,0,0
"175",0,0,1,0,0,1,30.6958,1,0,0,0,1,0,0
"176",1,1,0,0,1,1,7.8542,0,0,1,0,1,0,0
"177",3,1,0,0,1,1,25.4667,0,0,1,0,0,1,0
"178",0,0,1,0,0,0,28.7125,1,0,0,0,1,0,0
"179",0,0,0,1,0,1,13,0,0,1,0,1,0,0
"180",0,0,0,0,1,1,0,0,0,1,0,1,0,0
"181",8,2,0,0,1,0,69.55,0,0,1,0,0,1,0
"182",0,0,0,1,0,1,15.05,1,0,0,0,0,1,0
"183",4,2,0,0,1,1,31.3875,0,0,1,0,1,0,0
"184",2,1,0,1,0,1,39,0,0,1,1,0,0,1
"185",0,2,0,0,1,0,22.025,0,0,1,0,1,0,1
"186",0,0,1,0,0,1,50,0,0,1,0,0,1,0
"187",1,0,0,0,1,0,15.5,0,1,0,0,0,1,1
"188",0,0,1,0,0,1,26.55,0,0,1,0,1,0,1
"189",1,1,0,0,1,1,15.5,0,1,0,0,1,0,0
"190",0,0,0,0,1,1,7.8958,0,0,1,0,1,0,0
"191",0,0,0,1,0,0,13,0,0,1,0,1,0,1
"192",0,0,0,1,0,1,13,0,0,1,0,1,0,0
"193",1,0,0,0,1,0,7.8542,0,0,1,0,1,0,1
"194",1,1,0,1,0,1,26,0,0,1,0,1,0,1
"195",0,0,1,0,0,0,27.7208,1,0,0,0,1,0,1
"196",0,0,1,0,0,0,146.5208,1,0,0,0,1,0,1
"197",0,0,0,0,1,1,7.75,0,1,0,0,0,1,0
"198",0,1,0,0,1,1,8.4042,0,0,1,0,1,0,0
"199",0,0,0,0,1,0,7.75,0,1,0,0,0,1,1
"200",0,0,0,1,0,0,13,0,0,1,0,1,0,0
"201",0,0,0,0,1,1,9.5,0,0,1,0,1,0,0
"202",8,2,0,0,1,1,69.55,0,0,1,0,0,1,0
"203",0,0,0,0,1,1,6.4958,0,0,1,0,1,0,0
"204",0,0,0,0,1,1,7.225,1,0,0,0,1,0,0
"205",0,0,0,0,1,1,8.05,0,0,1,0,1,0,1
"206",0,1,0,0,1,0,10.4625,0,0,1,1,0,0,0
"207",1,0,0,0,1,1,15.85,0,0,1,0,1,0,0
"208",0,0,0,0,1,1,18.7875,1,0,0,0,1,0,1
"209",0,0,0,0,1,0,7.75,0,1,0,0,1,0,1
"210",0,0,1,0,0,1,31,1,0,0,0,1,0,1
"211",0,0,0,0,1,1,7.05,0,0,1,0,1,0,0
"212",0,0,0,1,0,0,21,0,0,1,0,1,0,1
"213",0,0,0,0,1,1,7.25,0,0,1,0,1,0,0
"214",0,0,0,1,0,1,13,0,0,1,0,1,0,0
"215",1,0,0,0,1,1,7.75,0,1,0,0,0,1,0
"216",1,0,1,0,0,0,113.275,1,0,0,0,1,0,1
"217",0,0,0,0,1,0,7.925,0,0,1,0,1,0,1
"218",1,0,0,1,0,1,27,0,0,1,0,1,0,0
"219",0,0,1,0,0,0,76.2917,1,0,0,0,1,0,1
"220",0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
"221",0,0,0,0,1,1,8.05,0,0,1,0,1,0,1
"222",0,0,0,1,0,1,13,0,0,1,0,1,0,0
"223",0,0,0,0,1,1,8.05,0,0,1,0,1,0,0
"224",0,0,0,0,1,1,7.8958,0,0,1,0,0,1,0
"225",1,0,1,0,0,1,90,0,0,1,0,1,0,1
"226",0,0,0,0,1,1,9.35,0,0,1,0,1,0,0
"227",0,0,0,1,0,1,10.5,0,0,1,0,1,0,1
"228",0,0,0,0,1,1,7.25,0,0,1,0,1,0,0
"229",0,0,0,1,0,1,13,0,0,1,0,1,0,0
"230",3,1,0,0,1,0,25.4667,0,0,1,0,0,1,0
"231",1,0,1,0,0,0,83.475,0,0,1,0,1,0,1
"232",0,0,0,0,1,1,7.775,0,0,1,0,1,0,0
"233",0,0,0,1,0,1,13.5,0,0,1,0,1,0,0
"234",4,2,0,0,1,0,31.3875,0,0,1,0,1,0,1
"235",0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
"236",0,0,0,0,1,0,7.55,0,0,1,0,0,1,0
"237",1,0,0,1,0,1,26,0,0,1,0,1,0,0
"238",0,2,0,1,0,0,26.25,0,0,1,0,1,0,1
"239",0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
"240",0,0,0,1,0,1,12.275,0,0,1,0,1,0,0
"241",1,0,0,0,1,0,14.4542,1,0,0,0,0,1,0
"242",1,0,0,0,1,0,15.5,0,1,0,0,0,1,1
"243",0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
"244",0,0,0,0,1,1,7.125,0,0,1,0,1,0,0
"245",0,0,0,0,1,1,7.225,1,0,0,0,1,0,0
"246",2,0,1,0,0,1,90,0,1,0,0,1,0,0
"247",0,0,0,0,1,0,7.775,0,0,1,0,1,0,0
"248",0,2,0,1,0,0,14.5,0,0,1,0,1,0,1
"249",1,1,1,0,0,1,52.5542,0,0,1,0,1,0,1
"250",1,0,0,1,0,1,26,0,0,1,0,1,0,0
"251",0,0,0,0,1,1,7.25,0,0,1,0,0,1,0
"252",1,1,0,0,1,0,10.4625,0,0,1,0,1,0,0
"253",0,0,1,0,0,1,26.55,0,0,1,0,1,0,0
"254",1,0,0,0,1,1,16.1,0,0,1,0,1,0,0
"255",0,2,0,0,1,0,20.2125,0,0,1,0,1,0,0
"256",0,2,0,0,1,0,15.2458,1,0,0,0,1,0,1
"257",0,0,1,0,0,0,79.2,1,0,0,0,0,1,1
"258",0,0,1,0,0,0,86.5,0,0,1,0,1,0,1
"259",0,0,1,0,0,0,512.3292,1,0,0,0,1,0,1
"260",0,1,0,1,0,0,26,0,0,1,0,1,0,1
"261",0,0,0,0,1,1,7.75,0,1,0,0,0,1,0
"262",4,2,0,0,1,1,31.3875,0,0,1,0,1,0,1
"263",1,1,1,0,0,1,79.65,0,0,1,0,1,0,0
"264",0,0,1,0,0,1,0,0,0,1,0,1,0,0
"265",0,0,0,0,1,0,7.75,0,1,0,0,0,1,0
"266",0,0,0,1,0,1,10.5,0,0,1,0,1,0,0
"267",4,1,0,0,1,1,39.6875,0,0,1,0,1,0,0
"268",1,0,0,0,1,1,7.775,0,0,1,0,1,0,1
"269",0,1,1,0,0,0,153.4625,0,0,1,0,1,0,1
"270",0,0,1,0,0,0,135.6333,0,0,1,0,1,0,1
"271",0,0,1,0,0,1,31,0,0,1,0,0,1,0
"272",0,0,0,0,1,1,0,0,0,1,0,1,0,1
"273",0,1,0,1,0,0,19.5,0,0,1,0,1,0,1
"274",0,1,1,0,0,1,29.7,1,0,0,0,1,0,0
"275",0,0,0,0,1,0,7.75,0,1,0,0,0,1,1
"276",1,0,1,0,0,0,77.9583,0,0,1,0,1,0,1
"277",0,0,0,0,1,0,7.75,0,0,1,0,1,0,0
"278",0,0,0,1,0,1,0,0,0,1,0,0,1,0
"279",4,1,0,0,1,1,29.125,0,1,0,0,1,0,0
"280",1,1,0,0,1,0,20.25,0,0,1,0,1,0,1
"281",0,0,0,0,1,1,7.75,0,1,0,0,1,0,0
"282",0,0,0,0,1,1,7.8542,0,0,1,0,1,0,0
"283",0,0,0,0,1,1,9.5,0,0,1,0,1,0,0
"284",0,0,0,0,1,1,8.05,0,0,1,0,1,0,1
"285",0,0,1,0,0,1,26,0,0,1,0,0,1,0
"286",0,0,0,0,1,1,8.6625,1,0,0,0,1,0,0
"287",0,0,0,0,1,1,9.5,0,0,1,0,1,0,1
"288",0,0,0,0,1,1,7.8958,0,0,1,0,1,0,0
"289",0,0,0,1,0,1,13,0,0,1,0,1,0,1
"290",0,0,0,0,1,0,7.75,0,1,0,0,1,0,1
"291",0,0,1,0,0,0,78.85,0,0,1,0,1,0,1
"292",1,0,1,0,0,0,91.0792,1,0,0,0,1,0,1
"293",0,0,0,1,0,1,12.875,1,0,0,0,1,0,0
"294",0,0,0,0,1,0,8.85,0,0,1,0,1,0,0
"295",0,0,0,0,1,1,7.8958,0,0,1,0,1,0,0
"296",0,0,1,0,0,1,27.7208,1,0,0,0,0,1,0
